tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
761,14:52:46,0.039,0.003,0.051,0.019,0.004,0.119,True
762,14:52:47,0.02,0.001,0.023,0.009,0.002,0.057,True
763,14:52:47,0.021,0.001,0.025,0.01,0.002,0.061,True
764,14:52:47,0.018,0.001,0.019,0.01,0.002,0.051,True
765,14:52:47,0.017,0.001,0.017,0.01,0.001,0.047,True
766,14:52:47,0.016,0.001,0.021,0.009,0.002,0.049,True
767,14:52:47,0.015,0.001,0.029,0.008,0.002,0.055,True
768,14:52:47,0.014,0.001,0.016,0.007,0.002,0.041,True
769,14:52:47,0.016,0.001,0.016,0.01,0.001,0.045,True
770,14:52:47,0.015,0.001,5.065,0.01,0.002,11.942,True
771,14:52:47,0.032,0.003,5.113,5.033,0.004,10.186,True
772,14:52:48,0.021,0.001,0.026,0.011,0.003,0.064,True
773,14:52:48,0.029,0.002,0.035,0.012,0.003,0.082,True
774,14:52:48,0.026,0.002,0.029,0.012,0.003,0.074,True
775,14:52:48,0.02,0.002,0.043,0.035,0.002,0.103,True
776,14:52:48,0.025,0.001,0.026,0.011,0.002,0.067,True
777,14:52:48,0.019,0.002,0.035,0.037,0.003,0.096,True
778,14:52:48,0.045,0.004,0.056,0.016,0.004,0.127,True
779,14:52:48,0.037,0.003,0.044,0.014,0.003,0.102,True
780,14:52:48,0.025,0.001,0.029,0.011,0.002,0.112,True
781,14:52:48,0.052,0.004,0.052,0.019,0.004,0.133,True
782,14:52:49,0.023,0.001,0.028,0.01,0.002,0.067,True
783,14:52:49,0.031,0.003,0.038,0.013,0.003,0.089,True
784,14:52:49,0.022,0.002,0.027,0.013,0.002,0.067,True
785,14:52:49,0.02,0.001,0.021,0.012,0.002,0.058,True
786,14:52:49,0.019,0.001,0.024,0.011,0.002,0.059,True
787,14:52:49,0.018,0.001,0.019,0.012,0.002,0.054,True
788,14:52:49,0.021,0.002,0.025,0.012,0.002,0.062,True
789,14:52:49,0.02,0.001,0.025,0.011,0.002,0.061,True
790,14:52:49,0.019,0.001,0.02,0.011,0.002,0.094,True
791,14:52:49,0.046,0.004,0.057,0.016,0.004,0.129,True
792,14:52:50,0.031,0.002,0.04,0.013,0.003,0.091,True
793,14:52:50,0.029,0.003,5.091,5.08,0.003,10.208,True
794,14:52:50,0.019,0.001,0.022,0.009,0.002,0.055,True
795,14:52:50,0.016,0.001,0.021,0.008,0.002,0.049,True
796,14:52:50,0.015,0.001,0.017,0.007,0.002,0.044,True
797,14:52:50,0.015,0.001,0.015,0.012,0.14,0.185,True
798,14:52:50,0.016,0.001,0.02,0.01,0.002,0.05,True
